0,1
"What is eighty trillion, three hundred and one billion, one hundred and thirty-two million, one hundred and eighty-two thousand, seven hundred and ninety-six plus fifty-four trillion, one hundred and sixty-one billion, sixty-one million, ninety-three thousand, four hundred and fifty-seven?","one hundred and thirty-four trillion, four hundred and sixty-two billion, one hundred and ninety-three million, two hundred and seventy-six thousand, two hundred and fifty-three"
"What is six hundred and eighteen million, ninety-nine thousand, five hundred and six plus three hundred and seventy-five million, one hundred and thirty-eight thousand, eight hundred and fifty-one?","nine hundred and ninety-three million, two hundred and thirty-eight thousand, three hundred and fifty-seven"
"What is four trillion, seven hundred and seventy-three billion, four hundred and fifteen million, four hundred and ninety-four thousand, one hundred and eighty-six plus eight trillion, four hundred and sixty-nine billion, seven hundred and eighty-nine million, six hundred and sixty-four thousand, four hundred and twenty-one?","thirteen trillion, two hundred and forty-three billion, two hundred and five million, one hundred and fifty-eight thousand, six hundred and seven"
"What is three trillion, one hundred and sixty-two billion, one hundred and fifty-nine million, four hundred and thirty-seven thousand, one hundred and eleven plus seven trillion, three hundred and eighty-three billion, seven hundred and seventy-seven million, five hundred and twenty-seven thousand, seven hundred and fifty?","ten trillion, five hundred and forty-five billion, nine hundred and thirty-six million, nine hundred and sixty-four thousand, eight hundred and sixty-one"
"What is one billion, eight hundred and sixty-seven million, four hundred and seventy-five thousand and sixty-two plus nine billion, seven hundred and fifty-one million, nine hundred and forty-one thousand, six hundred and twenty-nine?","eleven billion, six hundred and nineteen million, four hundred and sixteen thousand, six hundred and ninety-one"
"What is nineteen trillion, nine hundred and seventy-nine billion, eight hundred and thirteen million, six hundred and eighty-three thousand, nine hundred and sixty-three plus eighty trillion, one hundred and twenty-six billion, nine hundred and seventeen million, four hundred and thirty-five thousand, one hundred and forty-nine?","one hundred trillion, one hundred and six billion, seven hundred and thirty-one million, one hundred and nineteen thousand, one hundred and twelve"
"What is four hundred and thirty-six million, eight hundred and twenty-eight thousand, nine hundred and ninety-seven plus four hundred and four million, three hundred and eighteen thousand, four hundred and eighty-one?","eight hundred and forty-one million, one hundred and forty-seven thousand, four hundred and seventy-eight"
"What is two hundred and six trillion, six hundred and sixty-seven billion, seven hundred and forty million, two hundred and sixty-one thousand and forty-three plus five hundred and sixteen trillion, one hundred and fifty-nine billion, six hundred and seventy-four million, eight hundred and fifty thousand, six hundred and ninety?","seven hundred and twenty-two trillion, eight hundred and twenty-seven billion, four hundred and fifteen million, one hundred and eleven thousand, seven hundred and thirty-three"
"What is ninety-seven billion, eight hundred and fifty-eight million, six hundred and fourteen thousand, eight hundred and twenty-five plus thirty-three billion, one hundred and fifty-six million, eighty-seven thousand, six hundred and sixty-five?","one hundred and thirty-one billion, fourteen million, seven hundred and two thousand, four hundred and ninety"
"What is nine hundred and fifty-two billion, four hundred and thirty-four million, five hundred and twenty-five thousand, five hundred and ninety-six plus three hundred billion, three hundred and sixty-eight million, four hundred and sixty-eight thousand, nine hundred and fifty-three?","one trillion, two hundred and fifty-two billion, eight hundred and two million, nine hundred and ninety-four thousand, five hundred and forty-nine"
"What is nine billion, nine hundred and thirty-nine million, four hundred and seventeen thousand, one hundred and nineteen plus four billion, nine hundred and twenty-one million, two hundred and twenty-five thousand, one hundred and seventy-seven?","fourteen billion, eight hundred and sixty million, six hundred and forty-two thousand, two hundred and ninety-six"
What is fifty plus eighty-six?,one hundred and thirty-six
"What is four hundred and thirty-three thousand, eight hundred and eighty-nine plus nine hundred and thirty-seven thousand and thirty-four?","one million, three hundred and seventy thousand, nine hundred and twenty-three"
What is four hundred and twelve plus seven hundred and twenty?,"one thousand, one hundred and thirty-two"
What is eighty-nine plus seventy-five?,one hundred and sixty-four
"What is sixty-nine thousand, seven hundred and fifty-six plus seventy-nine thousand, five hundred?","one hundred and forty-nine thousand, two hundred and fifty-six"
"What is eighty-five billion, two hundred and eighty-three million, five hundred and twenty-seven thousand, five hundred and sixty plus sixty-four billion, one hundred and seventy-eight million, eight hundred and forty-three thousand, nine hundred and fifteen?","one hundred and forty-nine billion, four hundred and sixty-two million, three hundred and seventy-one thousand, four hundred and seventy-five"
"What is three hundred and fifty-three trillion, three hundred and eighty-nine billion, seven hundred and sixty-three million, eight hundred and thirty-six thousand, six hundred and seventy-three plus three hundred and ninety-three trillion, three hundred and sixty-five billion, three hundred and fifty-three million, eight hundred and eighty-eight thousand, four hundred and seventy-three?","seven hundred and forty-six trillion, seven hundred and fifty-five billion, one hundred and seventeen million, seven hundred and twenty-five thousand, one hundred and forty-six"
"What is eighty-seven thousand, two hundred and nine plus ninety thousand, eight hundred and nine?",one hundred and seventy-eight thousand and eighteen
"What is four hundred and seventy-nine million, seven hundred and eighty-five thousand, eight hundred and twelve plus nine hundred and seventeen million, three hundred and seventy thousand, nine hundred and twenty-eight?","one billion, three hundred and ninety-seven million, one hundred and fifty-six thousand, seven hundred and forty"
"What is one trillion, four hundred and fifty-eight billion, six hundred and seventy-nine million, six hundred and thirty-four thousand and fifty-two plus nine trillion, three hundred and eighty-nine billion, four hundred and seventy-eight million, two thousand, five hundred and sixteen?","ten trillion, eight hundred and forty-eight billion, one hundred and fifty-seven million, six hundred and thirty-six thousand, five hundred and sixty-eight"
What is three hundred and fifty-two thousand and fifty-one plus five hundred and ninety-eight thousand and ninety-nine?,"nine hundred and fifty thousand, one hundred and fifty"
"What is one million, three hundred and seven thousand, four hundred and twenty-eight plus eight million, four hundred and eighty-eight thousand, eight hundred and sixty-three?","nine million, seven hundred and ninety-six thousand, two hundred and ninety-one"
"What is ninety-six trillion, six hundred and six billion, one hundred and sixty-six million, seven hundred and seventy-one thousand, two hundred and seventy-one plus thirty-three trillion, eighty-nine billion, nine hundred and ninety-six million, five hundred and seventy-five thousand and one?","one hundred and twenty-nine trillion, six hundred and ninety-six billion, one hundred and sixty-three million, three hundred and forty-six thousand, two hundred and seventy-two"
"What is one billion, six hundred and seventy million, seven hundred and eighty-nine thousand, one hundred and thirty-one plus six billion, five hundred and sixty-eight million, eight hundred and sixty-nine thousand, seven hundred and fifty-five?","eight billion, two hundred and thirty-nine million, six hundred and fifty-eight thousand, eight hundred and eighty-six"
"What is eighty-one million, two hundred and thirty-six thousand, eight hundred and twenty-one plus twenty-one million, four hundred and sixty-eight thousand, eight hundred and five?","one hundred and two million, seven hundred and five thousand, six hundred and twenty-six"
"What is two hundred and ninety-one billion, five hundred and eighty-nine million, nine hundred and ten thousand, four hundred and twenty-eight plus nine hundred and eighty-three billion, eight hundred and forty-two million, four hundred and sixty-one thousand, three hundred and thirty-two?","one trillion, two hundred and seventy-five billion, four hundred and thirty-two million, three hundred and seventy-one thousand, seven hundred and sixty"
What is six hundred and five plus two hundred and seventy-two?,eight hundred and seventy-seven
"What is eight hundred and thirty-four million, four hundred and four thousand, six hundred and nine plus five hundred and forty-three million, two hundred and eighty-eight thousand, eight hundred and fifty-seven?","one billion, three hundred and seventy-seven million, six hundred and ninety-three thousand, four hundred and sixty-six"
"What is nine hundred and fifty-eight billion, one hundred and thirty-three million, nine hundred and seventy-four thousand, three hundred and twenty-three plus three hundred and sixty-two billion, ninety-eight million, seven hundred and fifty-one thousand, two hundred and twenty-nine?","one trillion, three hundred and twenty billion, two hundred and thirty-two million, seven hundred and twenty-five thousand, five hundred and fifty-two"
"What is seven thousand, two hundred and eighty plus nine thousand and ninety?","sixteen thousand, three hundred and seventy"
"What is fourteen thousand, five hundred and seventeen plus sixty-four thousand, six hundred and sixty?","seventy-nine thousand, one hundred and seventy-seven"
"What is seventy-two trillion, five hundred and twenty-six billion, nine hundred and forty-eight million, six hundred and forty-two thousand, one hundred and eighty-one plus seventy-two trillion, nine hundred and sixty-four billion, six hundred and ten million, nine hundred and eighteen thousand, seven hundred and twenty-one?","one hundred and forty-five trillion, four hundred and ninety-one billion, five hundred and fifty-nine million, five hundred and sixty thousand, nine hundred and two"
"What is two thousand, one hundred and seventy-seven plus four thousand, seven hundred and thirty-two?","six thousand, nine hundred and nine"
What is fifty-four plus thirty-one?,eighty-five
"What is nine trillion, three hundred and twenty-five billion, five hundred and eight million, seven hundred and eight thousand, eight hundred and fifty-seven plus one trillion, eight hundred and seven billion, five hundred and twenty-eight million, three hundred and thirty-nine thousand, two hundred and eighty-seven?","eleven trillion, one hundred and thirty-three billion, thirty-seven million, forty-eight thousand, one hundred and forty-four"
"What is nine hundred and ninety-eight trillion, five hundred and two billion, one hundred and seventy-eight million, two hundred and forty-nine thousand, seven hundred and thirty-five plus nine hundred and seventeen trillion, eight hundred and seventy billion, two hundred and fifty-seven million, eight hundred and fourteen thousand and ninety?","one quadrillion, nine hundred and sixteen trillion, three hundred and seventy-two billion, four hundred and thirty-six million, sixty-three thousand, eight hundred and twenty-five"
"What is six billion, three hundred and eighty-five million, nine hundred and thirty-three thousand, five hundred and sixty-six plus five billion, nine hundred and eight million, three hundred and sixty-nine thousand, three hundred and ninety-four?","twelve billion, two hundred and ninety-four million, three hundred and two thousand, nine hundred and sixty"
"What is ninety-seven trillion, six hundred and twenty-four billion, two hundred and two million, six hundred and thirty-five thousand, one hundred and eighty-nine plus forty-four trillion, two hundred and ninety-two billion, nine hundred and twenty-seven million, two hundred and seven thousand, nine hundred and twenty-nine?","one hundred and forty-one trillion, nine hundred and seventeen billion, one hundred and twenty-nine million, eight hundred and forty-three thousand, one hundred and eighteen"
What is thirty-eight plus fifty-nine?,ninety-seven
"What is eight hundred and ninety-six million, five hundred and four thousand and fifty-nine plus three hundred and twenty-nine million, seven hundred and four thousand and thirteen?","one billion, two hundred and twenty-six million, two hundred and eight thousand and seventy-two"
"What is three hundred and fifty trillion, nine hundred and sixty-three billion, one hundred and fifty-four million, four hundred and seventy thousand, six hundred and forty-four plus two hundred and seventy-four trillion, nine hundred and eighteen billion, three hundred and ten million, six hundred and thirty-one thousand, six hundred and eighty-four?","six hundred and twenty-five trillion, eight hundred and eighty-one billion, four hundred and sixty-five million, one hundred and two thousand, three hundred and twenty-eight"
"What is four trillion, two hundred and forty-one billion, seven hundred and eighteen million, nine hundred and four thousand, nine hundred and fifty-eight plus five trillion, nine hundred and six billion, four hundred and thirty-six million, seven hundred and twenty-seven thousand and fifty-eight?","ten trillion, one hundred and forty-eight billion, one hundred and fifty-five million, six hundred and thirty-two thousand and sixteen"
"What is fifty-three billion, three hundred and seventy-four million, five hundred and seventy-five thousand, one hundred and seventy-two plus ninety-eight billion, nine hundred and seventy-three million, seven hundred and eighty-three thousand, three hundred and twenty-nine?","one hundred and fifty-two billion, three hundred and forty-eight million, three hundred and fifty-eight thousand, five hundred and one"
"What is nine trillion, seven hundred and eighty-five billion, one hundred and seventy-one million, forty thousand, seven hundred and thirty-six plus seven trillion, nine hundred and fifty-one billion, four hundred and sixty-eight million, three hundred and forty-four thousand and seventy-nine?","seventeen trillion, seven hundred and thirty-six billion, six hundred and thirty-nine million, three hundred and eighty-four thousand, eight hundred and fifteen"
"What is three thousand, eight hundred and fifty plus six thousand, eight hundred and twenty-four?","ten thousand, six hundred and seventy-four"
What is sixty-five plus twenty-six?,ninety-one
"What is twenty-eight thousand, three hundred and twenty-nine plus sixty-three thousand, six hundred and eighty-six?",ninety-two thousand and fifteen
"What is sixty-three thousand, one hundred and eighty-two plus twenty-four thousand, one hundred and twenty-eight?","eighty-seven thousand, three hundred and ten"
"What is seven thousand, one hundred and seventy-one plus eight thousand, one hundred and eighty-four?","fifteen thousand, three hundred and fifty-five"
"What is five hundred and thirty-two million, seven hundred and eighty-four thousand, nine hundred and seventy-eight plus one hundred and seventy-seven million, three hundred and fifty thousand, two hundred and seventeen?","seven hundred and ten million, one hundred and thirty-five thousand, one hundred and ninety-five"
"What is five billion, four hundred and twenty-six million, two hundred and thirty thousand and seventy-five plus five billion, nine hundred and eighty-three million, two hundred and eighty-nine thousand, seven hundred and ninety-one?","eleven billion, four hundred and nine million, five hundred and nineteen thousand, eight hundred and sixty-six"
"What is eighty-one thousand, four hundred and forty-five plus eighty-four thousand and seventy-two?","one hundred and sixty-five thousand, five hundred and seventeen"
"What is eight billion, one hundred and ninety-three million, nine hundred and seventy-four thousand, one hundred and thirty-five plus six billion, four hundred and two million, two hundred thousand, four hundred and eighty-two?","fourteen billion, five hundred and ninety-six million, one hundred and seventy-four thousand, six hundred and seventeen"
"What is one trillion, one hundred and fifty-six billion, one hundred and six million, six hundred and ninety-three thousand, three hundred and eighty-three plus nine trillion, eight hundred and sixty-nine billion, three hundred and four million, five hundred and forty-nine thousand and seventy-five?","eleven trillion, twenty-five billion, four hundred and eleven million, two hundred and forty-two thousand, four hundred and fifty-eight"
"What is five hundred and thirty trillion, four hundred and seven billion, seven hundred and seventy million, five hundred and fifteen thousand, six hundred and fifteen plus eight hundred and ninety-six trillion, nine hundred and sixty-nine billion, seven hundred and ninety-eight million, four hundred and sixty-two thousand, six hundred and fifty-five?","one quadrillion, four hundred and twenty-seven trillion, three hundred and seventy-seven billion, five hundred and sixty-eight million, nine hundred and seventy-eight thousand, two hundred and seventy"
"What is four trillion, seven hundred and eight billion, seven hundred and ninety-seven million, eight hundred and seventy-nine thousand, seven hundred and seventy-five plus eight trillion, three hundred and twenty-eight billion, nine hundred and twenty-six million, five hundred and ninety-six thousand, nine hundred and thirty-seven?","thirteen trillion, thirty-seven billion, seven hundred and twenty-four million, four hundred and seventy-six thousand, seven hundred and twelve"
"What is five hundred and six billion, one hundred and eight million, eight hundred and forty-five thousand, eight hundred and forty-nine plus eight hundred and forty-seven billion, four hundred and seventy-two million, one hundred and seventy-eight thousand, six hundred and forty-six?","one trillion, three hundred and fifty-three billion, five hundred and eighty-one million, twenty-four thousand, four hundred and ninety-five"
"What is five hundred and eighty-eight thousand, two hundred and thirty-six plus eight hundred and ninety-two thousand and sixty-four?","one million, four hundred and eighty thousand, three hundred"
What is seven hundred and four plus one hundred and forty-four?,eight hundred and forty-eight
"What is sixty-three million, four hundred and ninety-six thousand, one hundred and seventy-four plus thirty-five million, one hundred and forty-one thousand, two hundred and eighty-seven?","ninety-eight million, six hundred and thirty-seven thousand, four hundred and sixty-one"
"What is eight trillion, one hundred and fifty-four billion, two hundred and seventy-one million, two hundred and sixty-one thousand, one hundred and seventeen plus three trillion, seven hundred and forty-four billion, nine hundred and eighty-five million, one hundred and fifty-eight thousand, one hundred and ninety-nine?","eleven trillion, eight hundred and ninety-nine billion, two hundred and fifty-six million, four hundred and nineteen thousand, three hundred and sixteen"
"What is four hundred and fifty-six trillion, six hundred and fifteen billion, two hundred and ninety-six million, seventy-two thousand, one hundred and seventy-eight plus six hundred and sixty-four trillion, seven hundred and seventy-eight billion, five hundred and ninety million, three hundred and fifty-nine thousand, one hundred and twenty-two?","one quadrillion, one hundred and twenty-one trillion, three hundred and ninety-three billion, eight hundred and eighty-six million, four hundred and thirty-one thousand, three hundred"
"What is five trillion, four hundred and seventy-seven billion, seventy-two million, one hundred and fifty-three thousand, three hundred and seventy-one plus two trillion, seven hundred and sixty-four billion, three hundred and six million, two hundred and ninety-six thousand, seven hundred and ninety-two?","eight trillion, two hundred and forty-one billion, three hundred and seventy-eight million, four hundred and fifty thousand, one hundred and sixty-three"
"What is forty-five million, one hundred and seventy-six thousand, three hundred and sixty-four plus nineteen million, five hundred and fifty-six thousand, one hundred and twenty-one?","sixty-four million, seven hundred and thirty-two thousand, four hundred and eighty-five"
"What is seventy-two million, one hundred and thirty-four thousand, six hundred and nine plus thirty-four million, sixty-eight thousand, four hundred and sixty-two?","one hundred and six million, two hundred and three thousand and seventy-one"
"What is ninety-eight million, nine hundred and twenty-six thousand, seven hundred and fourteen plus seventy-five million, one hundred and fifty-seven thousand, seven hundred and sixty-nine?","one hundred and seventy-four million, eighty-four thousand, four hundred and eighty-three"
"What is three billion, six hundred and seventeen million, one hundred and eighty-six thousand, nine hundred and fifty-six plus seven billion, one hundred and eighty-six million, two hundred and eighty-three thousand, nine hundred and twenty-six?","ten billion, eight hundred and three million, four hundred and seventy thousand, eight hundred and eighty-two"
"What is seven hundred and thirty-four thousand, six hundred and forty-nine plus three hundred and thirty-two thousand, eight hundred and eighty-two?","one million, sixty-seven thousand, five hundred and thirty-one"
"What is eight billion, three hundred and eighty-one million, five hundred and fourteen thousand, two hundred and seventeen plus one billion, sixty-four million, two hundred and fifty-seven thousand, three hundred and eighty-nine?","nine billion, four hundred and forty-five million, seven hundred and seventy-one thousand, six hundred and six"
"What is sixteen thousand, nine hundred and ninety-seven plus twelve thousand, one hundred and twenty-five?","twenty-nine thousand, one hundred and twenty-two"
"What is two thousand, seven hundred and forty-five plus four thousand and fifty-seven?","six thousand, eight hundred and two"
What is eight hundred and eighty-five plus six hundred and fifty-four?,"one thousand, five hundred and thirty-nine"
"What is six trillion, three hundred and fifty-one billion, one hundred and fourteen million, six hundred and sixty-three thousand, nine hundred and twenty-two plus nine trillion, eight hundred and sixty-eight billion, seven hundred and eighty-three million, four hundred and seventy-seven thousand, eight hundred and one?","sixteen trillion, two hundred and nineteen billion, eight hundred and ninety-eight million, one hundred and forty-one thousand, seven hundred and twenty-three"
What is fifty-eight plus sixty-one?,one hundred and nineteen
"What is sixty-one trillion, two hundred and one billion, five hundred and seventy-nine million, two hundred and eighty-nine thousand, eight hundred and seventy plus forty-four trillion, forty-eight billion, three hundred and twelve million, two hundred and seventy-one thousand, seven hundred and ninety-two?","one hundred and five trillion, two hundred and forty-nine billion, eight hundred and ninety-one million, five hundred and sixty-one thousand, six hundred and sixty-two"
"What is thirty-nine million, seventy-two thousand and sixty-one plus thirty-six million, fifty-five thousand, seven hundred and seven?","seventy-five million, one hundred and twenty-seven thousand, seven hundred and sixty-eight"
"What is ninety-three million, nine hundred and seven thousand, six hundred and sixty-five plus twenty-nine million, two hundred and sixty-six thousand, nine hundred and forty-nine?","one hundred and twenty-three million, one hundred and seventy-four thousand, six hundred and fourteen"
"What is six billion, nine hundred and twenty-seven million, five hundred and eighty-nine thousand and seventy-five plus nine billion, nine hundred and ninety-five million, eight hundred and forty-eight thousand, nine hundred and forty-three?","sixteen billion, nine hundred and twenty-three million, four hundred and thirty-eight thousand and eighteen"
"What is six hundred and sixty-three trillion, one hundred and eighty-nine billion, nine hundred and sixty-two million, thirty-nine thousand, nine hundred and forty-two plus eight hundred and twenty-two trillion, seven hundred and sixty billion, one hundred and forty million, three hundred and fifty thousand, nine hundred and seventy-six?","one quadrillion, four hundred and eighty-five trillion, nine hundred and fifty billion, one hundred and two million, three hundred and ninety thousand, nine hundred and eighteen"
"What is one billion, three hundred and forty-six million, forty thousand, six hundred and seventy-three plus five billion, seven hundred and forty-two million, twelve thousand, five hundred and nineteen?","seven billion, eighty-eight million, fifty-three thousand, one hundred and ninety-two"
"What is eight thousand, three hundred and forty-three plus four thousand and eighty-nine?","twelve thousand, four hundred and thirty-two"
"What is twenty-eight thousand, five hundred and seventeen plus seventy-eight thousand and thirty-two?","one hundred and six thousand, five hundred and forty-nine"
"What is two thousand and sixty-five plus one thousand, six hundred and seventeen?","three thousand, six hundred and eighty-two"
"What is seven hundred and seventy billion, seven hundred and seventy-nine million, two hundred and ninety-seven thousand, five hundred and seven plus three hundred and forty-five billion, two hundred and sixty-five million, four hundred and fifty-one thousand, six hundred and sixty-three?","one trillion, one hundred and sixteen billion, forty-four million, seven hundred and forty-nine thousand, one hundred and seventy"
What is one hundred and fifteen plus six hundred and eighty?,seven hundred and ninety-five
What is ninety-five plus forty-six?,one hundred and forty-one
"What is four thousand, eight hundred and seven plus one thousand, five hundred and thirty-five?","six thousand, three hundred and forty-two"
"What is ninety-seven trillion, two hundred and fifty-eight billion, three hundred and twenty-three million, one hundred and thirty-six thousand and eighty-six plus forty-five trillion, two hundred and seventy-five billion, two hundred and eighty-three million, one hundred and eight thousand, nine hundred and ninety-one?","one hundred and forty-two trillion, five hundred and thirty-three billion, six hundred and six million, two hundred and forty-five thousand and seventy-seven"
What is one hundred and nine plus one hundred and sixty-four?,two hundred and seventy-three
"What is two hundred and sixty-four thousand and eighty-five plus three hundred and fifty-seven thousand, eight hundred and fifty-three?","six hundred and twenty-one thousand, nine hundred and thirty-eight"
"What is forty-four thousand, eight hundred and eleven plus forty-nine thousand and seventy-nine?","ninety-three thousand, eight hundred and ninety"
"What is three million, four hundred and sixty-eight thousand, one hundred and nineteen plus nine million, four hundred and thirteen thousand, six hundred and forty-four?","twelve million, eight hundred and eighty-one thousand, seven hundred and sixty-three"
"What is eighteen thousand, nine hundred and nine plus ninety-two thousand, five hundred and sixty-two?","one hundred and eleven thousand, four hundred and seventy-one"
"What is sixty-three thousand and sixty-one plus fifty-nine thousand, six hundred and eighty-one?","one hundred and twenty-two thousand, seven hundred and forty-two"
"What is forty-eight thousand and fifty-nine plus seventy thousand, six hundred and eighty-nine?","one hundred and eighteen thousand, seven hundred and forty-eight"
"What is three trillion, nine hundred and ninety-three billion, four hundred and seven million, five hundred and thirty-five thousand, two hundred and ninety plus two trillion, nine hundred and seventeen billion, two hundred and ninety-six million, two hundred and sixty-seven thousand, four hundred and twenty-nine?","six trillion, nine hundred and ten billion, seven hundred and three million, eight hundred and two thousand, seven hundred and nineteen"
"What is five hundred and twenty thousand, nine hundred and twenty-seven plus nine hundred and thirteen thousand, one hundred and fifty-five?","one million, four hundred and thirty-four thousand and eighty-two"
"What is twenty-one billion, one hundred and ninety-eight million, forty thousand, eight hundred and fifty-two plus thirty-four billion, two hundred and thirty-five million, three hundred and eighty-one thousand, three hundred and sixty-eight?","fifty-five billion, four hundred and thirty-three million, four hundred and twenty-two thousand, two hundred and twenty"
"What is thirty-nine million, four hundred and fifty-six thousand, five hundred and forty-one plus fifteen million, fifty-five thousand, seven hundred and seventy-one?","fifty-four million, five hundred and twelve thousand, three hundred and twelve"
"What is six hundred and ninety-five thousand, eight hundred and nineteen plus four hundred and ninety-one thousand, one hundred and ninety-four?","one million, one hundred and eighty-seven thousand and thirteen"
"What is six hundred and seventy-one million, three hundred and ninety-seven thousand, five hundred and seventy-four plus three hundred and fourteen million, two hundred and thirteen thousand, four hundred and seventeen?","nine hundred and eighty-five million, six hundred and ten thousand, nine hundred and ninety-one"
"What is two million, fifty-four thousand and twenty-eight plus five million, eight hundred and sixty-one thousand, six hundred and thirty-nine?","seven million, nine hundred and fifteen thousand, six hundred and sixty-seven"
"What is five thousand, six hundred and sixty-five plus seven thousand and fifty-four?","twelve thousand, seven hundred and nineteen"
"What is ninety-four thousand, four hundred and sixty-four plus sixty-two thousand, four hundred and seventy-three?","one hundred and fifty-six thousand, nine hundred and thirty-seven"
"What is seventeen million, four hundred and seventy thousand, nine hundred and ninety-four plus sixty-five million, one hundred and sixty-seven thousand, five hundred and ninety-seven?","eighty-two million, six hundred and thirty-eight thousand, five hundred and ninety-one"
What is sixty-one plus eighteen?,seventy-nine
What is eighty-four plus seventy-two?,one hundred and fifty-six
"What is eight million, two hundred and five thousand, five hundred and ninety-seven plus two million, two hundred and eighty-eight thousand, eight hundred and fifty-seven?","ten million, four hundred and ninety-four thousand, four hundred and fifty-four"
"What is two hundred and seventy-seven trillion, three hundred and fifty-five billion, eleven million, ninety-eight thousand, five hundred and ten plus three hundred and eighty-one trillion, two hundred and eighty-seven billion, five hundred and sixty-three million, four hundred and ninety-four thousand, six hundred and eighty-nine?","six hundred and fifty-eight trillion, six hundred and forty-two billion, five hundred and seventy-four million, five hundred and ninety-three thousand, one hundred and ninety-nine"
"What is seventy thousand, three hundred and nine plus sixty-seven thousand, four hundred and eleven?","one hundred and thirty-seven thousand, seven hundred and twenty"
"What is four hundred and fifty-five thousand, eight hundred and sixty-seven plus six hundred and twenty-four thousand, one hundred and twenty-three?","one million, seventy-nine thousand, nine hundred and ninety"
"What is ninety-one thousand, four hundred and forty-nine plus eighty-four thousand, nine hundred and ten?","one hundred and seventy-six thousand, three hundred and fifty-nine"
"What is eighty-seven million, three hundred and one thousand, two hundred and thirteen plus seventy-nine million, three hundred and eighty-nine thousand, nine hundred and eighty-four?","one hundred and sixty-six million, six hundred and ninety-one thousand, one hundred and ninety-seven"
"What is seven trillion, three hundred and forty-two billion, two hundred and eighty-six million, two hundred and eighteen thousand, two hundred and thirty-two plus one trillion, eight hundred and fifty-three billion, five hundred and seventy-five million, three hundred and twenty-two thousand, eight hundred and seventy-seven?","nine trillion, one hundred and ninety-five billion, eight hundred and sixty-one million, five hundred and forty-one thousand, one hundred and nine"
What is thirty plus seventy-seven?,one hundred and seven
"What is five hundred and fifty-four billion, five hundred and twenty-five million, nine hundred and thirty-nine thousand, two hundred and six plus six hundred and sixty-two billion, seven hundred and thirty million, four hundred and forty-two thousand, seven hundred and five?","one trillion, two hundred and seventeen billion, two hundred and fifty-six million, three hundred and eighty-one thousand, nine hundred and eleven"
"What is nine million, two hundred and eighty-five thousand and four plus four million, three hundred and eighty-six thousand and eighty-five?","thirteen million, six hundred and seventy-one thousand and eighty-nine"
"What is nine million, eight hundred and forty-four thousand, one hundred and ninety-four plus one million, one hundred and thirty-six thousand, two hundred and thirty?","ten million, nine hundred and eighty thousand, four hundred and twenty-four"
"What is four billion, five hundred and fifty-eight million, five hundred and forty-eight thousand, nine hundred and fifty-five plus seven billion, one hundred and eighty-nine million, five hundred and six thousand, one hundred and eighty-two?","eleven billion, seven hundred and forty-eight million, fifty-five thousand, one hundred and thirty-seven"
"What is twenty-eight million, eight hundred and six thousand, one hundred and forty-two plus twenty-nine million, four hundred and sixty-nine thousand, one hundred and two?","fifty-eight million, two hundred and seventy-five thousand, two hundred and forty-four"
"What is five hundred and twenty trillion, three hundred and thirty-six billion, two hundred and four million, five hundred and seventy-four thousand, one hundred and twenty-seven plus six hundred and ninety-nine trillion, seven hundred and sixty-three billion, five hundred and fifty-six million, seven hundred and ninety-seven thousand, nine hundred and forty?","one quadrillion, two hundred and twenty trillion, ninety-nine billion, seven hundred and sixty-one million, three hundred and seventy-two thousand and sixty-seven"
"What is two thousand, two hundred and eighteen plus seven thousand, two hundred and thirty-nine?","nine thousand, four hundred and fifty-seven"
What is eight hundred and ninety-three plus eight hundred and fourteen?,"one thousand, seven hundred and seven"
"What is fifty-six million, six hundred and thirty-two thousand, four hundred and seventy-six plus twenty-eight million, one hundred and eighty-nine thousand, six hundred and eighty-nine?","eighty-four million, eight hundred and twenty-two thousand, one hundred and sixty-five"
"What is three hundred and fifty-three thousand, nine hundred and twenty-nine plus seven hundred and seventy-one thousand, eight hundred and forty-nine?","one million, one hundred and twenty-five thousand, seven hundred and seventy-eight"
"What is one thousand and fifty plus nine thousand, eight hundred and thirty-eight?","ten thousand, eight hundred and eighty-eight"
"What is eighteen billion, two hundred and eighty-two million, two hundred and fifty-seven thousand, four hundred and eighty-eight plus fifty billion, eight hundred and sixty-eight million, ninety thousand, six hundred?","sixty-nine billion, one hundred and fifty million, three hundred and forty-eight thousand and eighty-eight"
"What is nine thousand, three hundred and ninety-five plus nine thousand, two hundred and seventeen?","eighteen thousand, six hundred and twelve"
"What is sixty-five trillion, nine hundred and eighteen billion, six hundred and ninety-six million, three hundred and six thousand, five hundred and sixty-five plus sixty-six trillion, eighty-six billion, four hundred and eighty-seven million, one hundred and seven thousand and ninety-four?","one hundred and thirty-two trillion, five billion, one hundred and eighty-three million, four hundred and thirteen thousand, six hundred and fifty-nine"
"What is six million, two hundred and seventy-nine thousand, seven hundred and fifty plus eight million, seven hundred and ninety-four thousand, two hundred and ninety-nine?","fifteen million, seventy-four thousand and forty-nine"
"What is fifty trillion, four hundred and forty-four billion, six hundred and sixty-one million, two hundred and twelve thousand, two hundred and forty-seven plus twenty-three trillion, six hundred and fifty-nine billion, six hundred and eighty-three million, one hundred and forty-one thousand, nine hundred and fifty-four?","seventy-four trillion, one hundred and four billion, three hundred and forty-four million, three hundred and fifty-four thousand, two hundred and one"
